ngram,frequency,percentage
of the,2425,0.6137
in the,2239,0.5666
to the,1169,0.2958
in need,841,0.2128
poor families,771,0.1951
for the,750,0.1898
on the,728,0.1842
and the,657,0.1663
to be,646,0.1635
at the,594,0.1503
need of,555,0.1405
in a,535,0.1354
by the,513,0.1298
that the,504,0.1275
of a,486,0.1230
from the,467,0.1182
with the,448,0.1134
it is,415,0.1050
as a,394,0.0997
the country,393,0.0995
is a,391,0.0989
more than,359,0.0909
have been,352,0.0891
he said,339,0.0858
the government,311,0.0787
as the,311,0.0787
illegal immigrants,304,0.0769
vulnerable to,295,0.0747
has been,293,0.0741
according to,293,0.0741
one of,292,0.0739
number of,291,0.0736
will be,290,0.0734
it s,280,0.0709
to a,280,0.0709
they are,267,0.0676
said the,266,0.0673
the world,265,0.0671
with a,255,0.0645
the most,252,0.0638
it was,245,0.0620
is the,234,0.0592
the disabled,232,0.0587
for a,231,0.0585
who are,225,0.0569
such as,216,0.0547
there are,215,0.0544
out of,213,0.0539
the united,205,0.0519
there is,195,0.0493
from poor,193,0.0488
the us,191,0.0483
we are,190,0.0481
is not,189,0.0478
said that,188,0.0476
and a,188,0.0476
women s,187,0.0473
most vulnerable,182,0.0461
this is,182,0.0461
would be,179,0.0453
women and,179,0.0453
do n't,176,0.0445
to help,175,0.0443
the same,173,0.0438
as well,170,0.0430
people in,169,0.0428
the first,166,0.0420
of their,166,0.0420
was a,165,0.0418
part of,164,0.0415
those who,163,0.0412
and other,162,0.0410
per cent,160,0.0405
some of,160,0.0405
to make,159,0.0402
that they,159,0.0402
on a,157,0.0397
he was,156,0.0395
the city,156,0.0395
united states,154,0.0390
at a,152,0.0385
over the,150,0.0380
they were,150,0.0380
the number,146,0.0369
the homeless,146,0.0369
of women,146,0.0369
due to,146,0.0369
about the,145,0.0367
she said,145,0.0367
u s,145,0.0367
are in,145,0.0367
have to,144,0.0364
well as,142,0.0359
need to,141,0.0357
the state,140,0.0354
to get,138,0.0349
thousands of,137,0.0347
under the,137,0.0347
this year,137,0.0347
a new,136,0.0344
